"","FECHA_LUNES","VENTA","PRECIO","STOCK","NAVIDAD","VERANO","PRIMAVERA"
"1",2016-11-28,4031,482.629433333333,218477,"0","1","1"
"2",2016-12-05,8236,496.487689558233,209313,"0","1","1"
"3",2016-12-12,11798,490.107491967871,225950,"0","1","1"
"4",2016-12-19,15749,527.144432530121,155811,"1","1","1"
"5",2016-12-26,5838,476.613886345382,139957.99,"0","1","1"
"6",2017-01-02,4943,594.058310843374,116454.99,"0","0","0"
"7",2017-01-09,4980,530.640325702811,98769.99,"0","0","0"
"8",2017-01-16,5189,591.062704016064,85556.99,"0","0","0"
"9",2017-01-23,5423,615.152383935743,78788.99,"0","0","0"
"10",2017-01-30,5831,602.673408032128,69412.99,"0","0","0"
"11",2017-02-06,4717,641.177197590361,63994.99,"0","0","0"
"12",2017-02-13,4672,714.112128915663,65162.99,"0","0","0"
"13",2017-02-20,5522,730.906404819277,60697.99,"0","0","0"
"14",2017-02-27,9813,652.920684738956,57528.99,"0","0","0"
"15",2017-03-06,5331,716.412472289157,44918.99,"0","0","0"
"16",2017-03-13,4929,675.331875100402,38163.99,"0","0","0"
"17",2017-03-20,3049,784.362973895582,36530.99,"0","0","0"
"18",2017-03-27,3425,866.827177911647,38568.99,"0","0","0"
"19",2017-04-03,3774,908.963,38436.99,"0","0","0"
"20",2017-04-10,3118,1058.55656385542,36250.99,"0","0","0"
"21",2017-04-17,2269,950.87825060241,36069.99,"0","0","0"
"22",2017-04-24,2213,898.297549799197,35005.99,"0","0","0"
"23",2017-05-01,1898,795.419238955823,32783.99,"0","0","0"
"24",2017-05-08,1391,921.138178313253,30411.99,"0","0","0"
"25",2017-05-15,1255,905.331853413655,29126.99,"0","0","0"
"26",2017-05-22,1074,983.175875903614,27765.99,"0","0","0"
"27",2017-05-29,1197,1046.15075301205,26472.99,"0","0","0"
"28",2017-06-05,1297,859.575983935743,24865.99,"0","0","0"
"29",2017-06-12,2048,791.068453815261,23710.99,"0","0","0"
"30",2017-06-19,1248,876.581995582329,20601.99,"0","0","0"
"31",2017-06-26,1340,843.366585140562,19048.99,"0","0","0"
"32",2017-07-03,1922,768.68434497992,23772.99,"0","0","0"
"33",2017-07-10,2942,720.194588353414,26338.99,"0","0","0"
"34",2017-07-17,3999,676.758558634538,34549,"0","0","0"
"35",2017-07-24,3560,803.947078313253,54917,"0","0","0"
"36",2017-07-31,5642,756.781086345381,63877,"0","0","0"
"37",2017-08-07,4508,717.986710040161,58666,"0","0","0"
"38",2017-08-14,3477,904.133367871486,57561,"0","0","0"
"39",2017-08-21,3165,1593.16420361446,83670,"0","0","0"
"40",2017-08-28,5490,3199.07620200803,103395,"0","0","0"
"41",2017-09-04,5536,3356.72948594378,136621,"0","1","1"
"42",2017-09-11,9330,3250.70654738956,139897,"0","1","1"
"43",2017-09-18,7561,2876.79432168675,136551,"0","1","1"
"44",2017-09-25,5692,2764.75049759036,136685,"0","1","1"
"45",2017-10-02,7744,2415.85732971888,139864,"0","1","1"
"46",2017-10-09,11735,2080.52895783133,145262,"0","1","1"
"47",2017-10-16,7678,2253.59411325301,140490,"0","1","1"
"48",2017-10-23,8369,1957.93124819277,133198,"0","1","1"
"49",2017-10-30,5515,1899.5767746988,130631,"0","1","1"
"50",2017-11-06,9706,1743.1699562249,128163,"0","1","1"
"51",2017-11-13,8773,1569.43994417671,120306,"0","1","1"
"52",2017-11-20,5849,1786.56740040161,115602,"0","1","1"
"53",2017-11-27,9096,1418.14264538153,113373,"0","1","1"
"54",2017-12-04,8566,1652.03764016064,107571,"0","1","1"
"55",2017-12-11,12810,1281.83963895582,114325,"0","1","1"
"56",2017-12-18,30794,1310.38749598394,106326,"2","1","1"
"57",2017-12-25,14665,805.589951004016,77493,"1","1","1"
"58",2018-01-01,6481,904.715395180723,62646,"0","0","0"
"59",2018-01-08,8204,717.994875903614,56446,"0","0","0"
"60",2018-01-15,6987,761.02233815261,52721,"0","0","0"
"61",2018-01-22,5704,965.722018072289,47660,"0","0","0"
"62",2018-01-29,5801,1023.8106060241,45201,"0","0","0"
"63",2018-02-05,5112,955.277058634538,47012,"0","0","0"
"64",2018-02-12,5969,866.798585943775,51608,"0","0","0"
"65",2018-02-19,12419,729.629169477912,59644,"0","0","0"
"66",2018-02-26,7027,842.534618473896,50255,"0","0","0"
"67",2018-03-05,4917,930.798640963855,45774,"0","0","0"
"68",2018-03-12,3728,924.495418875502,41376,"0","0","0"
"69",2018-03-19,2863,997.45737751004,37831,"0","0","0"
"70",2018-03-26,3043,1018.64257991968,35472,"0","0","0"
"71",2018-04-02,2037,1031.11657751004,39420,"0","0","0"
"72",2018-04-09,2073,1033.30548514056,38320,"0","0","0"
"73",2018-04-16,2270,910.912870682731,36639,"0","0","0"
"74",2018-04-23,1793,964.576902008032,36139,"0","0","0"
"75",2018-04-30,1938,860.892918473896,35255,"0","0","0"
"76",2018-05-07,2124,853.911504819277,33711,"0","0","0"
"77",2018-05-14,3754,640.807317269076,32333,"0","0","0"
"78",2018-05-21,1890,773.65713935743,27527,"0","0","0"
"79",2018-05-28,1085,1027.86808032129,25731,"0","0","0"
"80",2018-06-04,1669,713.648809236948,24146,"0","0","0"
"81",2018-06-11,1621,854.852382730924,22635,"0","0","0"
"82",2018-06-18,892,962.165065863454,20864,"0","0","0"
"83",2018-06-25,1218,740.657742570281,19923,"0","0","0"
"84",2018-07-02,2048,768.82595502008,20819,"0","0","0"
"85",2018-07-09,2606,588.750398795181,19333,"0","0","0"
"86",2018-07-16,3636,529.188315261044,26280,"0","0","0"
"87",2018-07-23,4622,589.236673895582,46333,"0","0","0"
"88",2018-07-30,4304,789.798835341365,54753,"0","0","0"
"89",2018-08-06,4370,783.93191124498,76205,"0","0","0"
"90",2018-08-13,9084,678.80633253012,91869,"0","0","0"
"91",2018-08-20,5220,685.964725301205,97269,"0","0","0"
"92",2018-08-27,4851,787.131912048193,102192,"0","0","0"
"93",2018-09-03,9181,700.124924899598,105401,"0","1","1"
"94",2018-09-10,6499,851.880955823293,102596,"0","1","1"
"95",2018-09-17,6403,1444.45812048193,116220,"0","1","1"
"96",2018-09-24,3877,2368.75295421687,114823,"0","1","1"
"97",2018-10-01,6195,2517.18570963855,110910,"0","1","1"
"98",2018-10-08,4512,2687.88057670683,107043,"0","1","1"
"99",2018-10-15,4080,2872.06354257028,110022,"0","1","1"
"100",2018-10-22,5666,2548.85642771084,111091,"0","1","1"
"101",2018-10-29,5372,2768.34929477912,109962,"0","1","1"
"102",2018-11-05,6217,2454.42637148594,110021,"0","1","1"
"103",2018-11-12,6158,2007.20564417671,108908,"0","1","1"
"104",2018-11-19,6474,1892.95284096386,105946,"0","1","1"
"105",2018-11-26,7486,1822.90694578313,99668,"0","1","1"
"106",2018-12-03,9084,1685.92760763052,92159,"0","1","1"
"107",2018-12-10,13101,1197.96974136546,85896,"1","1","1"
"108",2018-12-17,31151,986.150074698795,82398,"2","1","1"
"109",2018-12-24,19235,679.941669477912,55640,"1","1","1"
"110",2018-12-31,7623,570.179214056225,35368,"0","1","1"
"111",2019-01-07,7732,555.969420080321,42190,"0","0","0"
"112",2019-01-14,5658,884.26637751004,40304,"0","0","0"
"113",2019-01-21,5639,954.831487550201,41074,"0","0","0"
"114",2019-01-28,6808,801.694143373494,46783,"0","0","0"
"115",2019-02-04,6062,847.094654618474,45978,"0","0","0"
"116",2019-02-11,4419,913.303165060241,44378,"0","0","0"
"117",2019-02-18,3237,947.619425301205,44145,"0","0","0"
"118",2019-02-25,4515,799.050210441767,43732,"0","0","0"
"119",2019-03-04,5845,798.279210441767,40244,"0","0","0"
"120",2019-03-11,4725,766.161342971888,34901,"0","0","0"
"121",2019-03-18,2832,953.037017269076,30824,"0","0","0"
"122",2019-03-25,2147,1039.19008313253,28505,"0","0","0"
"123",2019-04-01,2055,1085.89224738956,27806,"0","0","0"
"124",2019-04-08,1393,1062.40578433735,28206,"0","0","0"
"125",2019-04-15,1490,1093.75441084337,27453,"0","0","0"
"126",2019-04-22,2223,821.406751405622,27138,"0","0","0"
"127",2019-04-29,1440,937.322429718875,25154,"0","0","0"
"128",2019-05-06,972,1035.5787497992,24293,"0","0","0"
"129",2019-05-13,1149,860.185645783132,23106,"0","0","0"
"130",2019-05-20,773,1004.42918995984,21504,"0","0","0"
"131",2019-05-27,812,972.854240562249,20920,"0","0","0"
"132",2019-06-03,1064,791.699157831325,20352,"0","0","0"
"133",2019-06-10,1337,866.441085542169,19203,"0","0","0"
"134",2019-06-17,835,821.518810441767,17662,"0","0","0"
"135",2019-06-24,992,669.637701204819,16806,"0","0","0"
"136",2019-07-01,1305,671.986690361446,15640,"0","0","0"
"137",2019-07-08,1547,635.879483935743,14114,"0","0","0"
"138",2019-07-15,2055,526.834659839357,12657,"0","0","0"
"139",2019-07-22,2290,424.409862650602,10749,"0","0","0"
"140",2019-07-29,2900,360.90143815261,11675,"0","0","0"
"141",2019-08-05,2751,602.823880722892,62704,"0","0","0"
"142",2019-08-12,5752,637.687299598394,94933,"0","0","0"
"143",2019-08-19,5141,814.72251124498,101002,"0","0","0"
"144",2019-08-26,5738,874.41948875502,113387,"0","0","0"
